"Amaurochaetaceae RoSTAFINsKI, 1873, "	p. 8)]  Sporangia combined to form aethalium.  Rec.  
"Deckerellina REYTLl""GER, 1950, "	"0 1560, p. 57 [?D. istiensis ; OD). Test biserial, as in Palaeotext11/aria, wall calcareous, finely granular, with radial layer poorly developed; aperture in earliest chambers interiomarginal, in later chambers with single supplem entary lunate areal opening in addition. L.Carb.(Visean ), Brit.I. ; M .Carb.(Moscol'.), USSR. --FIG. 251,6,7. ?v. istiensis, M.Carb .(Moscov .) , USSR; 7a,b, side, top views, X40 (01560); 6, diagram. long. sec. (?401).  "
"Palaeobigenerina GALLOWAY, 1933, "	"?762, p. 223 [?Bigenerina geyeri Sc HELLWI EN, 1898, 0 1644 ,  p. 271; OD). Test biserial in early stage, later uniserial, as in Bigenerina with relativel y broad, low chambers; wall with 2 layers, as in Palae-o.text11/aria ; aperture terminal, rounded. L.Carb. ( Visean ) -U.Perm .(T/i11ring.), Eu. -N.Am.--FIG. 251 ,8,9. ?P. geyen (SCHELLWIE""), U.Carb., Carnie Alps; 8a ,b, side, top views, X 25 (?700 ); 9, diagram. long. axial sec. (0401).  "
"Paratextularia PoKORNY, 195 "	"1, ?1472, p. 20 [*Tex.tularia(?) proboscidea CvsH,.fAN & STAINBROOK, 1943, ?524, p. 78; OD] [=Cremsia E. V. BYKOVA, 1952, ?257, p. 50 (obj.)]. Test free, elongate; chambers biserially arranged throughout, final chamber typically somewhat produced; wall cal.careous, finely granular; aperture terminal, rounded, on prolongation of final chamber. Dev., N.Am.?Eu.--F1c. 252 ,3. ?P. proboscidea (CvSH.~IAN & STAINBROOK), USA(lowa); 3a,b, side, top views, X l09 (""2 117). [Pari1textularia and Crenuia were defined w ith the same type-s pecies. Paratex111/aria differs fr o m Palaeotextularia SCHUBERT, ~s described, in having-a terminal apenure r::ither than :rn interionurgin~d one. Thc:y may prove synonymous :1fter a restudy of the orig-in;i.l specimens or    (p. C338).  topotypes of the type-species, P11/aeoux111laria schelfo?ieni GALLOWAY & RYNIKER, 1930. Other species later referred to Pa/aeorexw/aria include both those with terminal aper.ture and others with a typical textularian aperture. If the type-spec ies is found to have a terminal aperture and to be otherwise similar, ScH t:BERT's name would have priority over Paratextularia. However, the original figures appear to be of an internal cast, and the ::ipcnural posi.tion is not well defined, so that both arc here tentatively recognized.]   "
"Pseudopalmula CusH""AN & STAINBROOK, 1943, "	"*524, p. 78 [?P. palmttloides; OD]. Test free, small, palmate, flattened; chambers biserially ar.ranged throughout, low, ,?ery broad, extending far back toward proloculus on each side; wall calcareous, finely granular; aperture ovate on apertural face of final chamber, nearly terminal. [Pse11dopalnwla differs from Paratexwlaria in its palmate test and ovate aperture which is not pro.duced on a neck.] Dev., N .Am .-Eu.--F1c. 252, 4,5. ?p, palnwloides, USA (lowa); 4, holotype; 5a,b, side, top views of paratype, X l 27 (?2 11 7).  "
"Tetrataxis EHRENBERG, 1854, "	"?680, p. 24 [ ?T. co11ica; OD (M) J [= Tetra/axis EHRENBERG, 1843,  ? 6i l, p. 106 (no m. nttd.); Rttditaxis SCHUBERT, 1921; ? 1694, p. 180 (type, Valvttlina rudis BRADY, 1876, ? 193, p. 90); Artetraxottm RH UM BLER, 1913,   ? 1 5i2b, p. 391 (nom. van.); Pseudotetrataxis MARIE in DELEAU & MARIE, 1961, ?s80A, p. 9 1 (tYpe, Tetra/axis planolocula LEE & CHEN, 1930,   ?  1121 , p. 94); Falsotetrataxis MARIE in DELEAU & MARIE, 196 1, ?580A , p. 95 (type, Tetra/axis     swtella CUSHMA N & WATERS, 1928, ?536, p. 65)] . Test free, trochospirally coiled, with all of nu.merous broad, low chambers visible on spiral side, and only rather few (commonly 4) of final whorl visible on umbilical side, umbilical cavity broad; wall calcareous, with 2 distinct layers, outer one microgranular and inner fibrou s; aper.ture umbilical. [R11ditaxis is based on the type.species Valv11li11a mdis BRADY. His original speci.mens of this species in the British Museum (Nat.ural History) arc crushed internal casts, probably of Tetra/axis. The genera are here regarded as synonymous.] Carb.-Trias., N.Am.-Eu .-Japan.-.F1c. 253,1. ?T. conica, Carb., Brit.I.; la-c, spiral , umbilical, and edge views, X 51 (?2117).  "
"Polytaxis CusHMAN & WATERS, 1928, "	"*535, p. SI [?P. laheei; OD]. Test low conical, similar to Tetra/axis in early stage, later spreading, with numerous small chambers to whorl ; aperture on umbilical side, ?several. [The aperture is not clearly distinguishable on the type-specimen, al.though the genus was described as having several elongate ventral openings. Polytaxis sp. of PAYARD ('1432), from the Jurassic belongs to the agglu.tinated genus Tritaxis in the Trochamminidae.] U.Carb., N.Am.-Eu.(Carnic Alps).--Fic. 253,5. *P. lalieei, Penn., USA(Tex.); 5a-c, spiral, um.bilical, and edge views of holotype, X 19 ('2117). Valvulinella SCHUBERT, 1907 (separate of 1908, *1687, p. 248, dated 1907) r?valv11lina yottngi BRADY, 1876, ?1 93, p. 86; SD SCHUBERT, 1908, *1686, p. 379] [=Vall'ulinella SCHUBERT, 1907,  * 1684, p. 211 ( nom . nttd.); Palaeol'afr11lina SCHU- (p. C338).    C338 Protista-Sarcodina  "
"Biseriammina CHERNYSHEVA, 1941, "	"0335, p. 69 [""B. 11ralica; OD). Test free, chambers biserially ar.ranged, with axis of biseriality planispirally en.rolled; wall calcareous, microgranular; aperture comprising narrow interiomarginal slit where chambers of opposed pair touch at short distance above contact with earlier whorl. L.Carb.(M. T o11r11ais.), USSR(S.Urals) .--F1c. 254,J,2. ""B. 11ralica; la,b, side, edge views; 2, cross sec. show.ing chamber arrangement, dotted lines represent.ing opposed pair of chambers, X 53 (0 335).  "
"Globivalvulina SCHUBERT, 1921, "	"0 1694, p. 153 [ 0 Valv11lina b111/oides BRADY, 1876, 0 193, p. 89; OD] . Test free, subglobular to hemispherical when somewhat flattened on broad apertural face; chambers biserially arranged with axis of bi.seriality planispirally to slightly trochospirally coiled ; wall calcareous, microgranular, may have inner fibrous or porous layer particularly well de.veloped along septa; aperture interiomarginal against opposite, penultimate chamber, partially covered by valvular projection extending toward opposite chamber near center of apertural face, commonly overlapping aperture of penultimate chamber. [Globivalv11/i11a differs from Biseriam.mina in being more advanced, with an apertural valvular projection.] U.Pe1111 .-Per111., N .A m .-Eu..C.Asia.--F1c. 255,J ,2. ?c. b111/oides (BRADY), U.Penn., USA(lowa); l a-c, opposite sides and edge of syntype, X93; 2, sec. of syntype, redrawn  (BMNH -P355 18, 0 193, pl. 4, fig . 14), X 79 (0 21l 7).   "
"Olyrnpina REICHEL, 1945, "	"0 1517, p. 540 [0 0. i11.solita; OD]. Test enrolled, chambers inflated, few to whorl; wall calcareous, perforate; aperture in septa! face. Perm ., Medit.(Cyprus). --Fie. 25 6,J . ?o. i11solita; la, holotype, photograph of sec., X 55; 1b, sketch from photograph showing chambers and septa! aperture, X 33 ( 0 1517).  [T his genus, describ ed from 2 sect ions in an algal lime.stone, is unknown as to mode of coiling, although it w:i.s suggested that the umbilica l region seemed to show the possibility of a trochospir:i.l arrangement. From comp:ai.son of the figures, it seems probable that Olympina could also be a biserially enrolled form :tnd it is here transfe rred to the Biser iamminidae. Th e strong simibrity to sections of Biseriammina su ggests that further study m:iy even shO\v Olympina to be a junio r synonym of Biseriammina. ]  "
"Forschia MIKHAYLOV, 1939, "	"? 1260. p. 50, 59  [?Spirillina subangulata voN MoLLER, 1879, ""1296,  p. 27, 130 (=S. angulata VON MOLLER, 1879, ""1296, p. 27) (nom. n11ll.); OD]. [=Forschia MIKHAYLOV, 1935, 0 1259, p. 41 (nom. nud.)]. Test free, proloculus followed by planispiral evo.lutely coiled tubular chamber, without distinct septation; aperture terminal, cribrate where tube flares terminally. L.Carb.(Visean), USSR.--FIG. 258,J-3. ?F. subangttlata (voN MOLLER); 1, equat. sec., X60 (*1509); 2, axial sec., X20 (""1509); 3, axial sec., X75 (*1296).   "
"Forschiella MIKHAYLOV, 1935, "	"1259, p. 41 [F. prisca; OD]. Early stage similar to Forscliia, later uncoiling and septate; aperture cribrate. L.Carb. (Visean), USSR.--FIG. 258,7. ""F. prisca; para.type showing axial sec. through early coiled stage, X59 (0 769).  "
"Glomospiroides REYTLINGER, 1950, "	"1560, p. 28 [?G. fttrsenki (nom. imperf., =G. fursenkoi, nom. correct. VoLoSHINOVA, DAIN & REYTLINGER lil RAUZER-CHERNOUSOVA & fURSENKO, 1959, *1509, p. 184); OD] [=Glomospirella REYT.LINGER, 1950, *1560, p. 27 (type, G. borealis) (non Glomospirella PLUMMER, 1945) ]. Test with early glomospirine coil, later uncoiling, septate throughout, but septa thin and irregular; wall calcareous, finely granular; aperture terminal, simple. M.Carb.(Moscov.), USSR.--FIG. 258, 4,5. ?c. f11rsenkoi; 4, long. sec. of holotype; 5, taPg. sec., X76 (0 1560).--FIG. 258,6. G. bore.alis (REYTLINGER), holotype, X76 (*1560).  [Originally Glomospirella REYTLlNGER, 1950 (non PLUM~ MER, 1945) included species with early glomospirine coil and later irregular development, whereas Glomospiroides became distinctly rectilinear in the later stage. VOLO-.SHINOVA, DAIN & REYTLINGER in RAUZER?CHERNOUSOVA & FuRSENKO (1959, ?!509, p. 184) regarded G/omospirel/a REYTLINGER as a synonym of Glomospiroides.]   "
"Gourisina REICHEL, 1945, "	"1517, p. 539 [*G. broennimanni; OD]. Status of genus doubtful; known only from a single section, it was described as having a calcareous wall, radially striate, with thin dark granular inner layer, and formed from 2 series of chambers in spire around proloculus. [It could equally well consist of a nonseptate plectogyrally coiled tube, so-called chambers con.sisting of sections through the tube as it spiraled. Because of the similarity to Glomospiranella in sections, it is here placed with the Tournayellidae.] U.Perm., Greece(Attica).--FIG. 258,10. ?c. broennimanni; lOa,b, holotype, photograph of thin sec. and outline of same showing chamber devel.opment, X80 (*1517). Lituotubella RAuzER-CHERNousovA, 1948, ?!502, p. 161 [?L. glomospiroides; OD]. Test with long tubular chamber, early stage in unsegmented glomospirine coil, later uncoiling, with regular constrictions of wall indicating chambers; no complete septa; wall granular, calcareous; aper.ture at open end of tube. L.Carb.( Visean), USSR. --FIG. 258,8,9. *L. glomospiroides; 8, me.dian sec. of early coil; 9, long. sec. of holotype, X50 (0 1502).   "
"Septabrunsiina LIPI'IA, 1955 "	", ""1143, p. 42 [""E11do.46 (t,?pe, Endothyra? primaet'a RAczrn-CHER'iOU.thyra? l(rainica LIPI'IA, 1948, ""1141 , p. 254; OD] sovA, 1948, ""1505, p. 5); Tottrnayellina LIPI '<A, [ =Septaglomospiranella LIPI'IA, 1955, ? 1143, p. 1955, ""1143, p. 52 (type, T. v11lgaris)] . Early    C342 Protista-Sarcodina  (p. C341-C342).  stage streptospiral and poorly or nonseptate, later planispiral as in Brttnsiina, but with few inflated chambers to whorl, resulting in appearance of better-developed septation in later portion; wall calcareous, microgranular; aperture simple, at open end of tube. U.Del'.-L.Carb.(Tournais.), USSR.--FIG. 259,1,?. ?s. krainica (LIPINA), Tournais.; 1, equat. sec.; 2, axial sec.; both X70 (""1H3).--FIG. 259,3. s. primael'a (RAUZER.CHERNOUSOVA), Tournais.; x 100 (""550).--FIG. 259.-1,5. S. vulgaris (LIPIKA), L.Carb. ; -I, sub.equat. sec. of paratype (early coil poorly seen); 5, equat. sec. of smaller paratype showing early spire, X70 (""1 143).  "
"Eocristellaria K. V. MIKLUKHO-MAKLAY, 1954, "	"0 1277, p. 67 [?E. permica; OD] . Test ovate in out.line, with gradually enlarging chambers arranged as in Astacoltts; wall calcareous, with outer hyaline layer an<l granular calcareous inner layer; aperture peripheral, ?radiate. U.Perm., USSR(Caucasus). --FIG. 261 ,4. 0 E. permica, holotype, X47 ("" 1277).  "
"Nanicella HENBEST, 1935, "	"?895, p. 34 [""Endo.tliyra gallowayi THOMAS, 1931, ""1907, p. 40; OD]. Test planispirally coiled and partially evolute; chambers numerous, low; wall calcareous with thin dark outer layer an<l thicker inner finely granular layer; aperture interiomarginal equatorial slit. Dev., N.Am.-USSR.--FIG. 260,3,4; 261, 2,3. 0 N. gallowayi (THOMAS), USA(Iowa) ; 260, Ja,b, 4, side, edge views of topotypes, X99  (""2117); 261,2,Ja, axial and equat. secs. of paratypes; 3b, portion of 3a enlarged (?1907).  "
"Rhenothyra H. BECKMANN, 1950, "	"0 103, p. 184, 187 [ ? R. refrathensis ; OD]. Test planispiral, evolute, similar to Loeblicliia, but with few chambers to whorl ; wall with 3 layers; aperture large, rounded, at the base of apertural face. [Loeblichia may prove to be a synonym of Rhenothyra, but in view of the fewer chambers in each whorl, fewer whorls, different wall structures described, large, round aperture instead of a basal slit, and the different geologic ages, both are tentatively recog.nized.] M.Dev., Eu.--FIG. 261 ,8-10. ""R. re.fratliensis, Ger.; 8,9, equat. and axial secs.; 10, somewhat abraded exterior of holotype; approx.  "
"Robuloides REICHEL, 1945, "	"0 1517, p. 531 [""R. lens; OD) [ =l'ararobttloides K. V. MIKLUKHo-MAKLAY, 1954, ? t277, p. 65 (type, P. orientalis)]. Test lenticular, nearly planispiral, inrnlute, periphery acute; wall calcareous perforate, radially striate, with lamellar thickening pronounced; septa porous as is outer w3ll; aperture circubr to radiate, areal, in lower part of septa I face. [Robttloidei di ffen from Lentimlina in the wall character, in having    perforate septa, and an areal rounded aperture instead of a radial aperture at the dorsal angle.] U.Perm ., Eu.(Greece)-USSR(Caucasus). --Fie. 261,5,6. ? R. lens, Greece(Hydra Is.); 5, holotype nearly equat. sec., tang. to proloculus; 6, para.type, slightl y oblique axial sec.; both X JOO (?1517).--Fie. 261,7. R. orientalis (K. V. M1KLUKHO-MAKLAY), USSR(Caucasus), axial sec. of holotype, X47 (""1277).   "
"Dainella BRAZHNIKOVA, 1962 "	"(see p. C795).  Endothyranella GALLOWAY & HARLTON in GALLO.WAY & RYNIKER, 1930, *765, p. 13 [*Ammobacu.lites powersi HARLTON, 1927, *879, p. 21; OD] [=Chernyshinellina REYTLINGER in RAUZER.CHERNOUSOVA & FURSENKO, 1959, *1509, p. 196 (type, Ammobaculites pygmaetts MALAKHOVA, 1954, *1207, p. 58); Rectochernyshinella LIPINA, 1960, *1145, p. 51 (type, Spiroplectammina mira.bilis LIPINA, 1948, *1141, p. 257)]. Test free, early portion enrolled and plectogyral, later nearly planispiral, finally uncoiling and becoming rec.tilinear; wall calcareous, fibrous, or may be re.crystallized and granular, aperture high interio.marginal equatorial arch, later areal and terminal in uncoiled portion. L.Carb.(U.Miss.)-U.Penn., USA-USSR.--F1G. 262,9. *E. powersi (HARL.ToN ), Penn., USA(Okla.); 9a,b, side, edge views of holotype, X76 (*2117).--FIG. 262,10. E.  pygmaea (MALAKHOVA), L.Carb.(Tournais.), USSR; long. sec., X66 (*1509).--FIG. 262, 11,12. E. mirabilis (LIPINA), L.Carb.(Tournais.), USSR; long. secs. of holotype and paratype, X50 (*700).  [Chernyshinel/ina was regarded as differing in characters of the septa, which were a gradual extension of the outer chamber wall and not sharply delineated. The angle of sepcal insertion is here regarded as of specific value only and Chernyshine/lina is thought to be a synonym of Endothyranel!a. The briefly diagnosed Rectochernyshine/la was regarded as similar to Chernyshinel/ina, with a bi? serial later stage. The type?species (original figures here reproduced) is known only from thin sections and shows some irregularities in chamber development, but is not cruly biserial. Lacer references to the type-species {*1143, pl. 13, figs. 10, 11) are equally inconclusive. It is re? garded as a synonym of Endoth)1ranella.}  "
"Kahlerina KocHANSKY-DEvrnF. & RAMovs, 1955, "	"*1047A, p. 383, 412 [*K. pachytlieca; OD] [ =Vsmriella SosNINA in KIPARISOVA et al., 1956, *1040, p. 21 (tvpe, U. 11ss11rica) (non Ussuriella PARAMONOV, 1929)). Test enrolled, subspherical, umbilici slightlv indented; early coiling somewhat plectogyral, that of microspheric form having 1 or 2 abrupt turns of about 90 degrees similar to Endot!zyra, few ( 4-8) whorls; microspheric pro.loculus small and globular, megalospheric pro.loculus up to 0.14 mm., 8-10 chambers per whorl, increasing fairly rapidly in height; septa straight,  radial, thick-walled; wall thick, of 2 layers (re.ferred to tectum and keriotheca, although kerio.thecal structure is indistinct), reduced chomata, as in Quasiendotliyra, and some very small paracho.mata rarely present, tunnel low, not continuous, observed rarely; foramina and very fine septa! pores present. [Originally Kahlerina was regarded as a primitive form placed in the Verbeekininae  *104 7 A), but later it was transferred to the Staffellinae (*1509). It is here considered as simpler than the Fusulinacea and tentatively placed in the Endothyrinae.] U.Perm., Yugoslav.-USSR. --FIG. 262A,1. *K. pachytheca, U.Perm., Yugo.slav.; 1a, axial sec. of microspheric form (holo.type), X 40; 1 b, axial sec. of megalospheric form, X20; lc,d, median secs. of microspheric forms,  "
"Novella 	GROZDILOVA & LEBEDEVA, 1950, "	"*830A, p. 20 [*N. evolttta; OD]. Test small, discoidal, planispiral and evolute, symmetrical; early cham.bers small and globular, later ones numerous, rela.tively broad and low and forming 2.5 to 7 whorls; septa straight, simple; wall thin, undifferentiated, chomata well developed in later whorls; aperture a single crescentic opening. [Originally placed with the staffellids, close to Eostaffella and Mil.lerella, it was also considered to be related to Nanicella. It is here assigned to the Endothyrinae, because of the undifferentiated wall, single aper.ture, and presence of chomata.) U.Carb.(Namur..Moscov.), USSR.--FIG. 262A,3. *N. evoluta, Moscov., Ural Mtns.; 3a,b, axial secs. of paratype and holotype, X 100 (*830A) .--FIG. 262A,4.  N. primitiva RAUZER-CHERNousovA, Vereisk., me.dial sec., X80 (*2074).  "
"Paraendothyra CHERNYSHEVA, 1940, "	"*334, p. 129, 134 [?P. nalivkini; OD]. Test free, enrolled, slightly evolute, biumbilicate, early coiling plecto.gyral, later nearly planispiral; wall dark, coarsely granular; aperture areal, crescentic slit. [Paraendo.thyra is characterized by its areal aperture.) L. Carb.(Tournais.), USSR(Urals).--FIG. 263,1-3. *P. nalivkini; la,b, side, apert. views, X30; 2, axial sec., X40; 3, equat. sec., X40 (*1509).  "
"Paraplectogyra 0KIMURA, 1958, "	"*1386, p. 254 [""P. masanae; OD J. Test similar to Endothyra, but wall with 3 distinct layers, corresponding to tec.tum, diaphanotheca, and lower tectorium of fusulinids. L.Carb.-Low.U.Carb., Japan.--FIG. 263,6,7. *P. masanae, L.Carb.(M.Miss.); 6, axial sec. of paratype; 7, equat. sec. of holotype, X 125 (*1386).  "
"Quasiendothyra RAUZER-CHERNOUSOVA, 1948, "	"* 1504'  p. 228 [*Endotlzyra kobeitusana RwzER-CHER.NousovA, 1948, *1505, p. 7; OD] [=Cribroendo.tliyra LEBEDEVA, 1956, *1101, p. 46 (type, ""C. no. 1 sp. et gen. nov .,"" nom. nud.); Planoendo.thyra REYTLINGER, 1958, *1564, p. 57 (nom.    n11d.); Planoendothyra R EYTLINGER in R AUZER .*1560, p. 34) ; Eoendothyra M1KLU KH0-M AKLAY, CHERNOUSOVA & FURSENKO, 1959, * 1509, p. 19.J 1960, ?1 273, p. 140 (type, Endothyra communis (type, Endotliyra alj11tovica R E YTLINGER, 1950, R AUzrn-CHERNousovA, 1948, ?1505, p. 6)). Test  3o 3b  Semi novel lo Novello    C348 Protista-Sarcodina  Paraendothyra  Rectoseptaglomospiranella    enrolled, compressed, early stage plectogyral, later planispiral, evolute; wall homogeneous, with sec.ondary deposits at base of chambers at outer margins, giving appearance of chomata of fusuli.nids, aperture interiomarginal. Dev.-Carb., USSR.  --Fie. 263 ,8 ,9. ?Q. kobeitusana ( RwzER.CHERNousovA), Dev.{Famenn.); equat. and axial secs., showing lateral secondary deposits, X 75 ("" 1509).--Fie. 263 ,10,11. Q. alj11tovica (REYT.LI NeER), U.Carb.(Moscov.); equat. and axial secs.,   Hoplophrogmello  Hoplophrogmel lo    Protista-Sarcodina C350   "
"Rectoseptaglomospiranella REYTLI NG ER, 196 "	"1, *I S66,  p. 62 [*Septaglomospiranella ( Rectoseptaglomo.spiranella) asiatica; OD) [= Septaglomospiranella ( Rectoseptaglomospirane/la) REYTLINGER, 1961,  *1S 66, p. 62 (obj.)]. Test elongate, early portion streptospirally coiled, later becoming planispiral and then uncoiled and rectilinear; incompletely sep.tate in coiled stage, rectilinear stage with broad, low, closely appressed chambers, completely septate; wall calcareous, coarsely granular, thick ; aperture simple, at least in early stages. U.De1?.( Famenn.), ?L.Carb.( L.Tottrnais.) , USSR(Kazakh.).--F1G. 263,4,5. *R. asiatica, U.Dev.(Famenn.); 4, long. equat. sec. of holotype; 5, equat. sec. of juvenile specimen, X7S (*1S66).  [This genus was orig inally described as a subgenus of Sept.iglomoJpiran('l/a (here placed in the synonymy of Sept&Jbrun siina ), which is similar to the early coiled stage of chc present form. As Rectoseptaglomospiranel/a diffr:rs in the uncoiled later stage, it is here clcvaccd to generic status. It differs from Ha p/ophragme'!la in its low , close? ly apprcssed chambers and simple noncribratc aperture of the rc:ctilincar stage.]   discoidal to biconcave, slightly asymmetrical, early I or 2 whorls involute, later 2 to 4 whorls be.coming evolute, with whorls rapidly increasing in thickness, leav ing broad , deep umbilicus; septa simple; wall homogeneous in structure, minor supplementary deposits (pseudochomata); single aperture. [Semi11011ella was originally regarded as transitional between Millerella and Novella, but because of the simple wall structure and single aperture it is here transferred to the Endothyrinae and elevated to generic status.] U.Carb.(U. Namur.-Moscol'.), USSR.--F1G. 262A,5. ?s. elega11tula; 5b, axial sec. of holotype, X74; 5a,c, axial secs. of paratypes, X 74 (*2074).  "
"Klubovella L EBEDEVA, 1956, "	"*1101, p. 52 (*K. konensis ; OD]. Test with early plectogyral en.rolled portion, later uncoiled, with ""biserially ar.ranged"" chambers; wall calcareous, with 2 la yers; aperture simple, basal in early stage, later ter.minal, multiple. L.Carb., USSR(Kazakh.).-.Fie. 264,7,8. *K. konensis; 7,8, syntypes, long. secs., X83 (*1 10 1) .  {This genus is provisionally recognized on the basis o[ the original description, but the ""biserial"" cha.racter seems questionable. No other hiserial forms are known in this group and the original illustrations (here copied) do not show any clear biserial ity. Both of the original figured specimens were labeled ""hololy pe"" on the plate descrip.tion.)  "
"Chernyshinella LiPiNA, 1955, "	"?1143, p. 47 (*Endo.thyra glomiformis Li PI'1A, 1948, *1141 , p. 254 ; OD] (= Gran11/i/erella E. J. ZELLER, 1957, ?2104 ,  p. 694 (type, G. gran11/osa)] . Test enrolled , slight.[,? asymmetrical. coiling plectogyral, few volu.tions. umbilicate: chambers few to whorl and rebtively large: septa oblique, continuing cham.ber curvature and not sharply delineated from outer chamber wall, which is single-lavered, rela.ti,-cl)? thick. and granular: aperture low, narrow, equat<>rial intcriomar)!inal slit. [Differs from Endotliyra in haring :i single-Ia,?ered wall, and    from Endothyranopsis in its fewer, more inflated chambers in each whorl, and plectog1Tal coiling.] L.Carb.(Toumais.), USSR-N.Am.-Japan. --FIG. 267,1-3. ?c. glomiformis (LIPINA), USSR ; 1a,b, ext. views, X 72 ("" 1509) ; 2, equat. sec., X 70 (?1143) ; 3, axial sec., X35 (""649).--FIG. 267, 4 ,5. C. gran11/osa (ZELLER), L.Miss., USA(Utah); axial and equat. secs., XIOO (""2104).  "
"Glyphostomella Ccsm1AN & WATERS, 1928, "	"?535,  p. 53 [?.-Jmmoc/1ilostoma? triloc11/ina CusHMAN & WATERS, l92i , ?534, p. 152 ( =Bradyina holden.1?lllensis HARLTON, 1927, ""879, p. 18); OD] [=Pseudobradyina REYTLINGER, 1950, ?1560 , p. 45 (type, P. p11/chra)] . Test planispiral, m.volute, few (usually 3) chambers to whorl, in-  C354 	Protista-Sarcodina  creasing rapidly in size ; septa! chamberlets simi.lar to those of Bradyina; wall calcareous, alveolar, granular, perforate; aperture consists of one to many straig ht or curved narrow slits at base and in face of final chamber, and supplementary su.tural slits opening into septa! chamberlets. [The synonymy of Am111ocl1ilosto111a? triloculina CusH.J\ IA N & WATERS, 1927 (Sept.) with Bradyina h ol.de11L?ille11sis H ARLToN, 1927 (July) was noted by WARTHIN (1930, *2040, p. 23) .) U.Carb. ( Penn.) , USA-USSR.--F1c . 269,1,2. ?c. /i olde111?ille11sis (HARL TON), Penn., USA(Tex.) ; la,b, side, apert. views of h olotype of Ammocl1ilostoma? trilomlina CusHMAN & WATERS , X50 ; 2a,b, large paratype of A.? trilomlina, X50 ( 02117).--F1c. 269,3,  "
"Janischewskina 	M1KHAYLOV, 1935, "	"0 1259, p. 40 [ 0/. typica ; OD] [=Ya11iscl1ewski11a MIKHAYLOV , 1939, 0 1260, p. 59 ( 110111. n11/l.); Samari11a Rw .ZER-CH ERNOUSOVA & REYTLINGER in RAUZER.CHERNousovA, BELYAEV & REYTLINGER, 1940, 0 1508, p. 53 (type, S. operc11lata)]. T est free, planispiral, involute; septa! chamberlets formed by infolding of outer wall as in Bradyina ; wall calcareous. fibrous, but without radial lamellae of Bradyi11a : aperture cribrate. in apertural ""shield .. and with secondary sutural openings. [fa11iscl1ew.ski11a differs from Bradyi11a in its less complex wall and cribrate aperture in a '\hield ... but without a definite interio nurgin :tl opening.) L.Carb.  (Visean), USSR.--F1c . 270,1-3. ""/ . typica; l a,b, side, apert. views, X 14; 2,3, equat., axial secs., X 25 ( 0 1509) .  "
"Archaediscus BRADY, 1873, "	"1 89, p. 286 [A . kar.reri: OD (M) J [=Arcliaediscoum RHUMBLER, 1913, ?1572b, p. 389 (obj.) (nom. t?an .) ; Neodis.c11s A. D. MIKLUKHO-MAKLAY, 1953, 0 1262, p. 129 (type, N . milliloides); Propermodisms A. D. ]'vfIKLCKHO-MAKLAY, 1953, ?1262, p. 128 (type, Hem igordius 11/meri MrKHAYLOV, 1939, ?1260, p. 61); Paraarchaediscus 0RLOVA, 1955, ? 1399, p. 621 (type, P. dubitabilis) ; Asteroarcliaedisc11s A. D. M1KLUKHO-MAKLAY in KIPARISOVA, et al., 1956,  ? 1010, p. 10 (type, Archaedisrns bascl1kiricus J\:RESTO\""~IKOV & T EODORO\""JTCH, 1936, 0 1055, p. 87): R11gosoarchaediscus :\. D. M1KLUKHO-MAK.LAY, 1957, ?1266, p. 37 (type, Archaediscus akd1ime11si; GROZD IL O\""A & LEBEDE\"".\, 1951, ?831.  p. 53)]. Test free, lenticubr; proloculus followed ln? streptospirally coiled. long. undi,?ided tubular 'eco nd chamber, e\?olute, tending co become more   nearl y planispiral with growth; wall calcareous, finely fibrous, with noticeable thickenings at sides of test, no outer imperforate layer observed; aper.ture at open end of tube. [Different generic names have been given to forms with varying degrees of symmetry of test thickening and relative amount of planispiral development. These are here re.garded as specific distinctions only.] L.Carb..Perm., Eu.--F1G. 271,1-4. 0 A. karrei?i, Carb., Eng.; la,b, side, edge views of syntype; 2, syntype in which later planispiral development can be distinguished; 3, axial sec. of sy ntype; 4, equat. sec. of syntype; all X64 (*2117).--FIG. 271,5.  A. milliloides (MIKLUKHo-MAKLAY), U.Perm., Caucasus; axial sec. of holotype, Xl7 ( 0 1262) . --FIG. 271,6. A. 11/meri (MIKHAYLov), L.Carb. (Visean), USSR; X80 (*1262).--FIG. 272,1,2.  A . dttbitabilis (ORLOVA), U.Tournais., Saratov; 1, ext., X 40; 2, axial sec. of holotype, X I 00 ( 0 1399).--FIG. 272,3. A. baschkiricw KREs.TOVNIKOV & T EODOROVITCH, M.Carb.(Bashkir.), USSR(Kolva); axial sec., X 100 (* 1509).--FIG. 272,4. A . akchimensis GROZDILOVA & LEBEDEVA, L.Carb.(L.Bashkir.), USSR; axial sec., X 100  (*83 1).   "
